user_id,anime_id,rating,timestamp
u001,1,10,2023-01-01
u001,5,9,2023-01-02
u001,12,8.5,2023-01-03
u001,13,8,2023-01-04
u001,14,9,2023-01-05
u001,18,9,2023-01-06
u001,21,8,2023-01-07
u001,22,8.5,2023-01-08
u001,11,9,2023-01-09
u002,6,9,2023-02-01
u002,8,8.5,2023-02-02
u002,9,9,2023-02-03
u002,15,9,2023-02-04
u002,16,10,2023-02-05
u002,23,9,2023-02-06
u002,19,8,2023-02-07
u002,20,8.5,2023-02-08
u002,24,8.5,2023-02-09
u003,2,10,2023-03-01
u003,3,9,2023-03-02
u003,4,9,2023-03-03
u003,17,9,2023-03-04
u003,10,8.5,2023-03-05
u003,20,8,2023-03-06
u003,9,8,2023-03-07
u003,5,8.5,2023-03-08
u003,18,8.5,2023-03-09
u004,5,10,2023-04-01
u004,12,9,2023-04-02
u004,13,9,2023-04-03
u004,21,8.5,2023-04-04
u004,22,9,2023-04-05
u004,1,9.5,2023-04-06
u004,14,9,2023-04-07
u004,18,8.5,2023-04-08
u004,11,9,2023-04-09
u005,7,9,2023-05-01
u005,8,9,2023-05-02
u005,19,9,2023-05-03
u005,23,9,2023-05-04
u005,24,9,2023-05-05
u005,15,8.5,2023-05-06
u005,6,8,2023-05-07
u005,16,9,2023-05-08
u005,20,8.5,2023-05-09
u006,10,9,2023-06-01
u006,20,9,2023-06-02
u006,9,8.5,2023-06-03
u006,15,8.5,2023-06-04
u006,16,8,2023-06-05
u006,2,8.5,2023-06-06
u006,3,8,2023-06-07
u006,17,8.5,2023-06-08
u006,4,8.5,2023-06-09
u007,21,9,2023-07-01
u007,22,9,2023-07-02
u007,12,8,2023-07-03
u007,13,8.5,2023-07-04
u007,14,9,2023-07-05
u007,5,9,2023-07-06
u007,1,9,2023-07-07
u007,11,8.5,2023-07-08
u007,18,9,2023-07-09
u008,23,9,2023-08-01
u008,24,9,2023-08-02
u008,8,8.5,2023-08-03
u008,7,8.5,2023-08-04
u008,19,9,2023-08-05
u008,6,8,2023-08-06
u008,16,8.5,2023-08-07
u008,9,8.5,2023-08-08
u008,15,9,2023-08-09
